text,aspect,true_sentiment,predicted_sentiment
"Oh, you should have seen the look on the waiter's face when we told him we didn't want any coffee after the meal.",waiter,negative,negative
"Oh, you should have seen the look on the waiter's face when we told him we didn't want any coffee after the meal.",meal,neutral,neutral
The menu is easy to use and understand.,menu,positive,neutral
"It has everything I needed: bluetooth, infrared, support for MMC, camera, and a good operating system with lots of supporting software.",phone,positive,positive
"I have about 6 gb used on my iPod so far (well over 1000 songs), and as far as I can tell, all of them play at near-cd quality.",quality,positive,positive
The decor is like a brasserie and has a fairly laid-back atmosphere.,decor,neutral,positive
The decor is like a brasserie and has a fairly laid-back atmosphere.,atmosphere,positive,positive
"Service was fine and the food delivered in reasonable time given the crowd, but for the price I was disappointed.",Service,positive,positive
"Service was fine and the food delivered in reasonable time given the crowd, but for the price I was disappointed.",food,positive,positive
"Service was fine and the food delivered in reasonable time given the crowd, but for the price I was disappointed.",crowd,neutral,positive
"Service was fine and the food delivered in reasonable time given the crowd, but for the price I was disappointed.",price,negative,positive
the food at this humble bastion of venezuelan home cooking is delicious-AND-authentic (how does this place rate only a 19 in zagat's?,food,positive,positive
the food at this humble bastion of venezuelan home cooking is delicious-AND-authentic (how does this place rate only a 19 in zagat's?,home cooking,neutral,positive
I was disappointed to find out that my insurance wouldn't cover the cost of my necessary medical procedure . It's frustrating to feel like my health is being held hostage by bureaucracy .,insurance,negative,negative
"Upon finishing our meal that same waitress that ignored us, suddenly appeared at our table asking if we needed our check, we were finishing our coffee and drinks, yet she was blatantly trying to get us out so that the table could be turned over.",waitress,negative,negative
"Upon finishing our meal that same waitress that ignored us, suddenly appeared at our table asking if we needed our check, we were finishing our coffee and drinks, yet she was blatantly trying to get us out so that the table could be turned over.",drinks,neutral,neutral
i had no problems setting up the software and getting my favorite cd 's transferred .,software,positive,positive
"Great place to meet friends or co workers for drinks, dinner or both.",workers,neutral,neutral
"Great place to meet friends or co workers for drinks, dinner or both.",drinks,neutral,neutral
"Great place to meet friends or co workers for drinks, dinner or both.",dinner,neutral,neutral
"Great place to meet friends or co workers for drinks, dinner or both.",place,positive,positive
Truly the mark of an attentive waiter .,waiter,positive,positive
"Encouraged, I went back for dinner and was again impressed: crisp, spicy asparagus spears (tad too spicy?",dinner,neutral,neutral
"Encouraged, I went back for dinner and was again impressed: crisp, spicy asparagus spears (tad too spicy?",asparagus spears,positive,neutral
I asked the waiter to move us to another table because we didn't want to rush our meal.,waiter,neutral,negative
I asked the waiter to move us to another table because we didn't want to rush our meal.,table,neutral,neutral
I asked the waiter to move us to another table because we didn't want to rush our meal.,meal,negative,neutral
Try the Bocadillos to start and don't forget to order a Mojito from the bar (they're the best!,Mojito,positive,neutral
Try the Bocadillos to start and don't forget to order a Mojito from the bar (they're the best!,bar,neutral,neutral
"an unpretentious spot in park slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",spot,positive,positive
"an unpretentious spot in park slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",sushi,positive,positive
"an unpretentious spot in park slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",service,positive,positive
"an unpretentious spot in park slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",service,positive,positive
"an unpretentious spot in park slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",service,positive,positive
The only downside to this is that it can get pretty stinky long before the pail is full.,pail,negative,negative
I recommend using your bread and sopping up the sauce.,bread,positive,neutral
I recommend using your bread and sopping up the sauce.,sauce,neutral,positive
I guess that `` limited lifetime warranty '' means it may take a lifetime to collect on the warranty .,warranty,negative,negative
"they have a delicious banana chocolate dessert , as well as a great green tea tempura .",banana chocolate dessert,positive,positive
"they have a delicious banana chocolate dessert , as well as a great green tea tempura .",green tea tempura,positive,positive
The menu could be a little bigger but my food as well as my boyfriend's was outstanding (and a lot less expensive than I expected).,menu,neutral,neutral
The menu could be a little bigger but my food as well as my boyfriend's was outstanding (and a lot less expensive than I expected).,food,positive,positive
"complaints were shrugged off and service was slow, causing the dinner to go on for over 2 hours.",service,negative,negative
"complaints were shrugged off and service was slow, causing the dinner to go on for over 2 hours.",dinner,neutral,neutral
i really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .,scallops,positive,positive
i really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .,mahi mahi ( on saffron risotto,positive,positive
We had a great time at the Jekyll and hyde Pub last night .,Jekyll and hyde Pub,positive,positive
"We were told by the hostess to make sure we were on time for our reservation, which we were, but then they kept us waiting for 15 minutes when we got there.",hostess,negative,negative
"We were told by the hostess to make sure we were on time for our reservation, which we were, but then they kept us waiting for 15 minutes when we got there.",reservation,neutral,neutral
"We were told by the hostess to make sure we were on time for our reservation, which we were, but then they kept us waiting for 15 minutes when we got there.",waiting,negative,neutral
"furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",rice,negative,negative
"furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",sushi,negative,negative
"furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",sushi,negative,negative
"We have been to this place many times , and always have great food , wine , and service .",food,positive,positive
"We have been to this place many times , and always have great food , wine , and service .",wine,positive,positive
"We have been to this place many times , and always have great food , wine , and service .",service,positive,positive
My prefix dinner was composed of garlic shrimp appetizer followed by a yummy skirt steak complete with handcut fries.,prefix dinner,neutral,neutral
My prefix dinner was composed of garlic shrimp appetizer followed by a yummy skirt steak complete with handcut fries.,garlic shrimp appetizer,neutral,neutral
My prefix dinner was composed of garlic shrimp appetizer followed by a yummy skirt steak complete with handcut fries.,steak,positive,neutral
My prefix dinner was composed of garlic shrimp appetizer followed by a yummy skirt steak complete with handcut fries.,fries,positive,neutral
"the place has an awesome decore, with fish swiming below certain tables.",decore,positive,neutral
"the place has an awesome decore, with fish swiming below certain tables.",fish,positive,neutral
"the place has an awesome decore, with fish swiming below certain tables.",tables,neutral,neutral
"in the summer months , the back garden area is really nice .",back garden area,positive,positive
"As for their pasta, the tomato sauce, not the tomato basil; it's got a tang I didn't like.",pasta,neutral,neutral
"As for their pasta, the tomato sauce, not the tomato basil; it's got a tang I didn't like.",the tomato sauce,negative,neutral
This is really a no brainer.,player,positive,positive
Staff would not change a meal to accomadidate food allegeries.,Staff,negative,negative
Staff would not change a meal to accomadidate food allegeries.,meal,neutral,neutral
Staff would not change a meal to accomadidate food allegeries.,food,neutral,neutral
The tasting menu experience lasted close to three hours and included six or seven food courses and three desert courses.,menu,positive,neutral
The tasting menu experience lasted close to three hours and included six or seven food courses and three desert courses.,food courses,neutral,neutral
there is no way the battery supplied lasts 14 hours !,battery,negative,negative
Cons : - I think the satellites look ugly .,satellites,negative,positive
"The customer service at my bank is excellent , but the high fees they charge for international transactions are frustrating .",customer service,positive,negative
"The customer service at my bank is excellent , but the high fees they charge for international transactions are frustrating .",fees,negative,negative
"The customer service at my bank is excellent , but the high fees they charge for international transactions are frustrating .",international transactions,negative,negative
"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,negative
"when tables opened up, the manager sat another party before us.",tables,neutral,neutral
"when tables opened up, the manager sat another party before us.",manager,negative,negative
"Learning about history is fascinating , but the way it's taught in schools can be quite dry and boring .",history,positive,negative
"Learning about history is fascinating , but the way it's taught in schools can be quite dry and boring .",way it's taught in schools,negative,negative
"Graphics are clean and sharp, internet interfaces are seamless.",Graphics,positive,positive
"Graphics are clean and sharp, internet interfaces are seamless.",internet interfaces,positive,positive
"I was excited to try out this new communication app , but unfortunately it kept crashing every time I tried to use it .",communication app,positive,negative
"I was excited to try out this new communication app , but unfortunately it kept crashing every time I tried to use it .",communication app,negative,negative
"For the money, it's a dependable and fun place to get sushi - bring friends and share the 2 for 1 rolls (they have to be 2 of the same.",money,positive,neutral
"For the money, it's a dependable and fun place to get sushi - bring friends and share the 2 for 1 rolls (they have to be 2 of the same.",place,positive,positive
"For the money, it's a dependable and fun place to get sushi - bring friends and share the 2 for 1 rolls (they have to be 2 of the same.",sushi,neutral,neutral
"For the money, it's a dependable and fun place to get sushi - bring friends and share the 2 for 1 rolls (they have to be 2 of the same.",rolls,neutral,neutral
"Went to Chow Bar for dinner, I thought it was kind of pricey, but the food and the service was good - but it wasn't incredibly busy, so maybe they just had more free time to devote to us.",Chow Bar,neutral,neutral
"Went to Chow Bar for dinner, I thought it was kind of pricey, but the food and the service was good - but it wasn't incredibly busy, so maybe they just had more free time to devote to us.",dinner,neutral,neutral
"Went to Chow Bar for dinner, I thought it was kind of pricey, but the food and the service was good - but it wasn't incredibly busy, so maybe they just had more free time to devote to us.",food,positive,positive
Wasted me at least 8 hours of installation time.,installation time,negative,negative
"We were just settling the bill, when a waiter I can only assume held a controlling interest in the restaurant (else he would've been fired long ago) came to the table and demanded to know why someone (our friend who'd briefly left to use the restroom) had left her beer half-full.",bill,neutral,neutral
"We were just settling the bill, when a waiter I can only assume held a controlling interest in the restaurant (else he would've been fired long ago) came to the table and demanded to know why someone (our friend who'd briefly left to use the restroom) had left her beer half-full.",waiter,negative,negative
"We were just settling the bill, when a waiter I can only assume held a controlling interest in the restaurant (else he would've been fired long ago) came to the table and demanded to know why someone (our friend who'd briefly left to use the restroom) had left her beer half-full.",half-full,neutral,neutral
"When questioning our server about a certain dish, she kindly brought over the Union Sq.",server,positive,negative
"When questioning our server about a certain dish, she kindly brought over the Union Sq.",dish,neutral,neutral
"The pizza at this restaurant was absolutely delicious , but the service was terrible .",pizza,positive,negative
"The pizza at this restaurant was absolutely delicious , but the service was terrible .",service,negative,negative
"Not only did we have to flag the waiter down every time for every course or request, but they spilled our drinks twice all over the table - and once was hot tea.",waiter,negative,negative
"Not only did we have to flag the waiter down every time for every course or request, but they spilled our drinks twice all over the table - and once was hot tea.",drinks,neutral,neutral
"Not only did we have to flag the waiter down every time for every course or request, but they spilled our drinks twice all over the table - and once was hot tea.",tea,neutral,neutral
"Secondly, all info can be sent to a computer and w/o the hassle of USB wires.",transmission,positive,positive
It was more than enough food even though the portions are tiny.,food,positive,positive
It was more than enough food even though the portions are tiny.,portions,negative,positive
"The sushi at this restaurant is amazing , but the service is terrible .",sushi,positive,negative
"The sushi at this restaurant is amazing , but the service is terrible .",service,negative,negative
I also like that you can scroll down in a window using two fingers on the trackpad.,trackpad,positive,positive
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food .,Italian food,positive,positive
"The ambiance of this restaurant is amazing , but the food is mediocre at best .",ambiance,positive,positive
"The ambiance of this restaurant is amazing , but the food is mediocre at best .",food,neutral,positive
i am very pleased with this product and the price to match and have n't had any problems .,product,positive,positive
The park is a wonderful place to relax and enjoy nature .,park,positive,positive
The park is a wonderful place to relax and enjoy nature .,nature,positive,positive
"the food however , is what one might expect .",food,negative,negative
Good drink .,drink,positive,positive
"Sometimes, the take-out and seating lines can be long, but the staff help move things along.",take-out,neutral,positive
"Sometimes, the take-out and seating lines can be long, but the staff help move things along.",seating lines,neutral,positive
"Sometimes, the take-out and seating lines can be long, but the staff help move things along.",staff,positive,negative
"$25 prix fixe sounds like a good deal, but dinner was still $100 for two, the portions were small, and the ($35) wine, clearly where the money is made, mediocre.",prix fixe,neutral,neutral
"$25 prix fixe sounds like a good deal, but dinner was still $100 for two, the portions were small, and the ($35) wine, clearly where the money is made, mediocre.",portions,negative,negative
"$25 prix fixe sounds like a good deal, but dinner was still $100 for two, the portions were small, and the ($35) wine, clearly where the money is made, mediocre.",wine,negative,neutral
"$25 prix fixe sounds like a good deal, but dinner was still $100 for two, the portions were small, and the ($35) wine, clearly where the money is made, mediocre.",money,neutral,positive
And the Tom Kha soup was pathetic .,Tom Kha soup,negative,negative
"My friend's entree wasn't presented as described in the menu, but we didn't want to add to the drama.",entree,negative,neutral
"My friend's entree wasn't presented as described in the menu, but we didn't want to add to the drama.",menu,neutral,neutral
"I had tried to uninstall Norton Internet Security a few weeks ago, and it wouldn't let me do that either.",uninstall,negative,negative
There is no way you can talk with customer care about this.,care,negative,negative
"The atmosphere is still to die for, but the wine list has so clearly been pared down and marked up (as a result of higher foot traffic brought in by lots of rave reviews in local publications, perhaps?",atmosphere,positive,positive
"The atmosphere is still to die for, but the wine list has so clearly been pared down and marked up (as a result of higher foot traffic brought in by lots of rave reviews in local publications, perhaps?",wine list,negative,positive
"We were told by the front door hostess since we didn't have a reservation, it would be about 45mins for a table, but we could wait at the lounge and they would get us when our table was ready.",front door hostess,negative,neutral
"We were told by the front door hostess since we didn't have a reservation, it would be about 45mins for a table, but we could wait at the lounge and they would get us when our table was ready.",reservation,neutral,neutral
"We were told by the front door hostess since we didn't have a reservation, it would be about 45mins for a table, but we could wait at the lounge and they would get us when our table was ready.",lounge,neutral,neutral
This is the best speaker mount I had so far .,speaker mount,positive,positive
kind of a small place but i guess if they are not too busy might be able to fit a group or kids .,place,neutral,negative
"Not the most beautiful environment, but the food is consistently delicious and the barbeque is fun and tasty.",environment,negative,positive
"Not the most beautiful environment, but the food is consistently delicious and the barbeque is fun and tasty.",food,positive,positive
"My mom I take it to go eat in our car across the street--the BBQ Pork Rice another favorite, Duck Soy sauce chicken rice!",BBQ Pork Rice,positive,neutral
"My mom I take it to go eat in our car across the street--the BBQ Pork Rice another favorite, Duck Soy sauce chicken rice!",Duck Soy sauce chicken rice,neutral,neutral
"The customer service at this business is terrible . I had to wait on hold for 45 minutes before speaking to a representative , and when I finally did , they were unhelpful .",customer service,negative,negative
"The customer service at this business is terrible . I had to wait on hold for 45 minutes before speaking to a representative , and when I finally did , they were unhelpful .",representative,negative,negative
I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,extended warranty,neutral,neutral
"in the hands of someone who does n't , it will yield good results on idiot program / auto mode .",mode,positive,positive
"If you had good service there, try to get your waiter's name and request him/her by name the next time.",service,positive,positive
"If you had good service there, try to get your waiter's name and request him/her by name the next time.",waiter,neutral,positive
I came here b/c someone gave a trashy review to my favorite coffee place (Grey Dog's) and compared it to this place so I had to see for myself what was so great about 71.,coffee place,positive,neutral
I came here b/c someone gave a trashy review to my favorite coffee place (Grey Dog's) and compared it to this place so I had to see for myself what was so great about 71.,Grey Dog,neutral,neutral
"Volare virgins or weekly regulars , everyone gets treated the same and you ca n't ask for more than that when the service is this friendly .",service,positive,positive
It's frustrating when a celebrity you admire gets caught up in scandal and it turns out they're not the person you thought they were .,celebrity,negative,negative
It's frustrating when a celebrity you admire gets caught up in scandal and it turns out they're not the person you thought they were .,person you thought they were,negative,negative
"Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .",Appetizers,neutral,positive
"Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .",waiter,negative,positive
"Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .",potato stuff kanish,positive,positive
"Downtown Dinner 2002 - Prixe fix : Appetizers were ok , waiter gave me poor suggestion ... try the potato stuff kanish best one .",potato stuff kanish,positive,positive
"Brightness could be better and the viewing angle is not great , but for the price I paid for a 24inch monitor , this can not be beat .",Brightness,negative,negative
"Brightness could be better and the viewing angle is not great , but for the price I paid for a 24inch monitor , this can not be beat .",viewing angle,negative,negative
"Brightness could be better and the viewing angle is not great , but for the price I paid for a 24inch monitor , this can not be beat .",price,positive,negative
We started with some drinks on the front porch and then continued at our table with a bottle of delicious red wine.,table,neutral,neutral
We started with some drinks on the front porch and then continued at our table with a bottle of delicious red wine.,wine,positive,neutral
and the battery life is bad !,life,negative,positive
"I like this router a whole lot better the Linksys 11b router it replaced -- the signal strength seems ot be much stroners, seldom falling below the ""very good"" range (and most often excellent within 25-50 feet of the router.",strength,positive,positive
"The manager apologized and gave us back $20 for the difference, BUT THE WAITER NEVER RETURNED THE $120 CASH WE PAID.",manager,positive,negative
"The manager apologized and gave us back $20 for the difference, BUT THE WAITER NEVER RETURNED THE $120 CASH WE PAID.",WAITER,negative,negative
"it works well enough ( so far ) for me to be satisfied with it , and it 's possible that i 'm missing something .",player,positive,positive
The plum wine at the end of the meal was a nice touch.,plum wine,positive,neutral
The plum wine at the end of the meal was a nice touch.,meal,neutral,neutral
"seemed like a good deal , but this pos frequently cannot recognize dvds and music cds -- takes a long time loading and then concludes , "" no disc "" .",dvd,negative,negative
"seemed like a good deal , but this pos frequently cannot recognize dvds and music cds -- takes a long time loading and then concludes , "" no disc "" .",cd,negative,negative
"seemed like a good deal , but this pos frequently cannot recognize dvds and music cds -- takes a long time loading and then concludes , "" no disc "" .",disc,negative,negative
"i try navigating using the player 's built in menu , and it still would n't work !",player,negative,negative
Wonderful sleek case design is only on the outside.,case design,positive,positive
"We made early dinner reservations and were thoroughly impressed , reminds me of my grandfather , its old school Italian scenery with lots of fun stuff to admire .",scenery,positive,positive
"We made early dinner reservations and were thoroughly impressed , reminds me of my grandfather , its old school Italian scenery with lots of fun stuff to admire .",dinner reservations,positive,positive
Service was not snooty and you'll be treated the same whether you order one of the $150+ kaiseki dinners or a single entree.,Service,negative,negative
Service was not snooty and you'll be treated the same whether you order one of the $150+ kaiseki dinners or a single entree.,kaiseki dinners,neutral,neutral
Service was not snooty and you'll be treated the same whether you order one of the $150+ kaiseki dinners or a single entree.,entree,neutral,neutral
I was really disappointed with the quality of the clothing I received from this fashion retailer .,quality of the,negative,negative
"this camera is ideal for people who want more power , but do n't want to spend 1000s dollars on a camera .",camera,positive,positive
Drinks way over priced .,Drinks,negative,negative
Drinks way over priced .,priced,negative,negative
Service was slow and our drink order took forever (and the place wasn't crowded).,Service,negative,negative
Service was slow and our drink order took forever (and the place wasn't crowded).,drink,neutral,neutral
Service was slow and our drink order took forever (and the place wasn't crowded).,place,positive,negative
Not ony did our waiter impose on the dessert we were trying to enjoy to take the money -- he didn't even ask us if we wanted change -- nor did he bring us back any!!!,waiter,negative,negative
Not ony did our waiter impose on the dessert we were trying to enjoy to take the money -- he didn't even ask us if we wanted change -- nor did he bring us back any!!!,dessert,neutral,neutral
Not ony did our waiter impose on the dessert we were trying to enjoy to take the money -- he didn't even ask us if we wanted change -- nor did he bring us back any!!!,money,neutral,neutral
"The food 's dazzling flavors overwhelm the palate , truly embracing the beauty of authentic Thai cuisine .",food,positive,positive
"The food 's dazzling flavors overwhelm the palate , truly embracing the beauty of authentic Thai cuisine .",Thai cuisine,positive,positive
"The food 's dazzling flavors overwhelm the palate , truly embracing the beauty of authentic Thai cuisine .",flavors,positive,positive
"It was more than enough food and drink for everyone, and at $20 per person, including tax and tip, the prices cannot be beat!",tip,neutral,positive
"It was more than enough food and drink for everyone, and at $20 per person, including tax and tip, the prices cannot be beat!",prices,positive,positive
"Even at lunch, when lawyers and publishers flock in to wheel and deal over the justly-popular lunch buffet, the atmosphere remains serene.",justly-popular lunch buffet,neutral,neutral
"Even at lunch, when lawyers and publishers flock in to wheel and deal over the justly-popular lunch buffet, the atmosphere remains serene.",atmosphere,positive,positive
The atmosphere is bland and non-descript and the service is fine.,atmosphere,negative,positive
The atmosphere is bland and non-descript and the service is fine.,service,positive,positive
"They have samosas, chicken tikka masala, and a lot of other dishes you can think of.",chicken tikka masala,neutral,neutral
"They have samosas, chicken tikka masala, and a lot of other dishes you can think of.",dishes,positive,positive
"The first time my husband and I went there, both the appetizer and entreee I ordered were not available, but we had a waitress who was really on top of things.",appetizer,neutral,neutral
"The first time my husband and I went there, both the appetizer and entreee I ordered were not available, but we had a waitress who was really on top of things.",waitress,positive,negative
Learning about history through storytelling is a fantastic way to engage young learners and foster a love of learning .,storytelling,positive,positive
Learning about history through storytelling is a fantastic way to engage young learners and foster a love of learning .,young learners,positive,positive
Learning about history through storytelling is a fantastic way to engage young learners and foster a love of learning .,love of learning,positive,positive
"As for the food, apart from the Chef's Omakase, the appetizers and rolls are just below mediocre for the price they charged.",food,neutral,neutral
"As for the food, apart from the Chef's Omakase, the appetizers and rolls are just below mediocre for the price they charged.",Chef,neutral,neutral
"As for the food, apart from the Chef's Omakase, the appetizers and rolls are just below mediocre for the price they charged.",appetizers,negative,neutral
"As for the food, apart from the Chef's Omakase, the appetizers and rolls are just below mediocre for the price they charged.",price,negative,neutral
You can not get decent mid-range or bass at lower levels without inaccurate booming from the sub woofer no matter how you tweak the levels .,mid-range,negative,negative
You can not get decent mid-range or bass at lower levels without inaccurate booming from the sub woofer no matter how you tweak the levels .,bass,negative,negative
"The Food When the counter guy asks, Would you like better fries with that?",Food,neutral,neutral
"The Food When the counter guy asks, Would you like better fries with that?",counter,neutral,neutral
"The Food When the counter guy asks, Would you like better fries with that?",fries,positive,neutral
Utility Its got a huge list of features including an FM Recorder a Calender and contacts list.,features,positive,positive
The customer service for this computer company is terrible . They never respond to emails and their phone lines are always busy .,customer service,negative,negative
"While the place looks rather small and undecorated, I will definitely go back just for the food.",place,negative,negative
"While the place looks rather small and undecorated, I will definitely go back just for the food.",food,positive,positive
Still has terrible software.,software,negative,negative
The menu is pricey and the food was not tasty - except for the tostones with garlic and oil.,menu,negative,neutral
The menu is pricey and the food was not tasty - except for the tostones with garlic and oil.,tostones,positive,positive
The menu is pricey and the food was not tasty - except for the tostones with garlic and oil.,garlic,neutral,neutral
The menu is pricey and the food was not tasty - except for the tostones with garlic and oil.,oil,neutral,neutral
the main entree was also very good .,main entree,positive,positive
The keyboard is too slick.,keyboard,negative,negative
The best pad thai i 've ever had .,pad thai,positive,positive
"Ordered a beer from the bartender, she opened it and the told me that she didn't know the price !!",beer,neutral,neutral
"Ordered a beer from the bartender, she opened it and the told me that she didn't know the price !!",bartender,negative,negative
"In addition, I've always found the waiters helpful with the wine selection, and there is always a good selection of wines by the glass.",waiters,positive,positive
"In addition, I've always found the waiters helpful with the wine selection, and there is always a good selection of wines by the glass.",wine selection,neutral,neutral
"In addition, I've always found the waiters helpful with the wine selection, and there is always a good selection of wines by the glass.",wines,positive,positive
"In addition, I've always found the waiters helpful with the wine selection, and there is always a good selection of wines by the glass.",the glass,neutral,neutral
"I for one do not plan to go back, there are many other places in Manhattan that have just as good food if not better, at the same prices with much better service.",food,positive,neutral
"I for one do not plan to go back, there are many other places in Manhattan that have just as good food if not better, at the same prices with much better service.",prices,neutral,negative
"I for one do not plan to go back, there are many other places in Manhattan that have just as good food if not better, at the same prices with much better service.",service,positive,negative
"It 's so small , but big value Mac .",small,positive,positive
"It 's so small , but big value Mac .",value,positive,positive
"the dosas are skimpy , unattractive and drip with grease , and personally i ' d drink popcorn topping before i ' d eat another one of these .",dosas,negative,negative
"the dosas are skimpy , unattractive and drip with grease , and personally i ' d drink popcorn topping before i ' d eat another one of these .",dosas,negative,negative
"the waitress came to check in on us every few minutes , and began to clear the plates while half of us were still eating ( a big pet peeve of mine that happens almost everywhere , so i try to ignore it ) .",waitress,negative,negative
"Not only is the cuisine the best around , the service has always been attentive and charming .",cuisine,positive,positive
"Not only is the cuisine the best around , the service has always been attentive and charming .",service,positive,positive
"Not only is the cuisine the best around , the service has always been attentive and charming .",service,positive,positive
bartenders management and at first were a bit disappointed with food.,bartenders management,neutral,negative
bartenders management and at first were a bit disappointed with food.,food,negative,negative
"We were seated promptly as we had reservations , however after that the service was slow .",service,negative,negative
Great replacement at great price for an older bulky and heavy monitor .,price,positive,positive
A key contributor that led me to Mac is the art aspect.,art aspect,positive,negative
This MacBook is an outstanding product with great value.,value,positive,positive
I thought it was kind of steeply priced at that time.,priced,negative,negative
the battery is nice .,battery,positive,positive
The biggest problem is that the box had no instructions in it.,instructions,negative,negative
I lived next door and loved to go down for a drink at their uplit marble bar under the beautiful lighting or sit by the fireplace when the live band is not playing.,bar,neutral,neutral
I lived next door and loved to go down for a drink at their uplit marble bar under the beautiful lighting or sit by the fireplace when the live band is not playing.,lighting,positive,neutral
I lived next door and loved to go down for a drink at their uplit marble bar under the beautiful lighting or sit by the fireplace when the live band is not playing.,live band,neutral,neutral
The flight was delayed by several hours and the airline didn't provide any information or compensation .,flight,negative,negative
The flight was delayed by several hours and the airline didn't provide any information or compensation .,airline,negative,negative
"The Scene Vintage suitcases and black-and-white photos of old ocean liners evoke the Golden Age of travel in the front bar, where a worldly clientele sips cocktails around a flickering faux fireplace.",Scene,neutral,neutral
"The Scene Vintage suitcases and black-and-white photos of old ocean liners evoke the Golden Age of travel in the front bar, where a worldly clientele sips cocktails around a flickering faux fireplace.",bar,neutral,neutral
"The Scene Vintage suitcases and black-and-white photos of old ocean liners evoke the Golden Age of travel in the front bar, where a worldly clientele sips cocktails around a flickering faux fireplace.",clientele,positive,neutral
"The Scene Vintage suitcases and black-and-white photos of old ocean liners evoke the Golden Age of travel in the front bar, where a worldly clientele sips cocktails around a flickering faux fireplace.",cocktails,neutral,neutral
This coffee shop offers many varieties of food.,coffee,neutral,neutral
This coffee shop offers many varieties of food.,food,positive,positive
"the mouse on the pad, the left button always sticks.",mouse on the pad,neutral,negative
"the mouse on the pad, the left button always sticks.",left button,negative,negative
"We were a large party, over 6 people, and after our initial drinks, which included a couple bottles of wine, and order were taken we did not see a waiter or a busboy again for over an hour!!",initial drinks,neutral,neutral
"We were a large party, over 6 people, and after our initial drinks, which included a couple bottles of wine, and order were taken we did not see a waiter or a busboy again for over an hour!!",waiter,negative,negative
"We were a large party, over 6 people, and after our initial drinks, which included a couple bottles of wine, and order were taken we did not see a waiter or a busboy again for over an hour!!",busboy,negative,negative
"If you 're looking for a great meal at a decent price , go to Del Frisco 's !",meal,positive,positive
"If you 're looking for a great meal at a decent price , go to Del Frisco 's !",price,positive,positive
"I have to move pictures off of it every day so I have room for more pictures the next, and I don't have enough money to buy the 256 MEG card that I've had my eye on for a while.",room,negative,neutral
it's such a great camera! i think it really was worth the investment =),camera,positive,positive
"After a 21/2 hour lunch in which our displeasure was apparent, we didn't receive an apology or an explanation from the waiter or manager.",lunch,neutral,neutral
"After a 21/2 hour lunch in which our displeasure was apparent, we didn't receive an apology or an explanation from the waiter or manager.",waiter,negative,negative
"After a 21/2 hour lunch in which our displeasure was apparent, we didn't receive an apology or an explanation from the waiter or manager.",manager,negative,negative
I built my own router table with a tilt up top & made a hand crank to replace the height adjustment knob & these two things make it easy to change out & raise or lower the bits.,adjustment,negative,positive
"Many Thais top off spicy dishes with a fried egg, but in many places it's not on the menu and when requested, I will either get charged $1.",dishes,positive,neutral
"Many Thais top off spicy dishes with a fried egg, but in many places it's not on the menu and when requested, I will either get charged $1.",a fried egg,neutral,neutral
"Many Thais top off spicy dishes with a fried egg, but in many places it's not on the menu and when requested, I will either get charged $1.",menu,neutral,neutral
"Powerup is quick, and you can even set your favorite image to display for a second or so as it turns on.",Powerup,positive,neutral
"The ambiance of this restaurant was great and the staff were friendly , but the food was mediocre at best .",ambiance,positive,positive
"The ambiance of this restaurant was great and the staff were friendly , but the food was mediocre at best .",staff,positive,positive
"The ambiance of this restaurant was great and the staff were friendly , but the food was mediocre at best .",food,neutral,positive
"The tennis tournament was well-organized , and the players performed exceptionally well .",tennis tournament,positive,positive
"The tennis tournament was well-organized , and the players performed exceptionally well .",players,positive,positive
A touch more jalapeno heat for contrast and it would have been very good indeed .,jalapeno,positive,positive
"Last visit, ignored by our waiter, we finally got beers and ordered food.",waiter,negative,negative
"Last visit, ignored by our waiter, we finally got beers and ordered food.",food,neutral,neutral
My laptop now has no battery.,battery,negative,negative
In my table the M12V has been a real champ.,M12V,positive,positive
"putting in MP3 player, lots of games and application to download.",player,positive,positive
"putting in MP3 player, lots of games and application to download.",games,positive,neutral
"putting in MP3 player, lots of games and application to download.",application,positive,positive
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,neutral
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,positive
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,neutral
"The plot of this movie was predictable and unoriginal , but the acting was superb .",plot of this,negative,negative
