text,aspect,predicted_sentiment
I appreciate the in-depth analysis provided by this news outlet on the current economic situation .,news outlet,positive
I appreciate the in-depth analysis provided by this news outlet on the current economic situation .,current economic situation,positive
"here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy .",size,positive
"here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy .",sturdy,positive
"the pics can be touched up in photoshop, and be printed at 4x6 and they look great!",pics,positive
"Pros: - Excellent sound, even with the headphones that come out of the box, but it absolutely rocked with my Bose Quietcomfort 2 set.",sound,positive
"The air quality in this city is terrible , especially during rush hour traffic .",air quality,negative
"The air quality in this city is terrible , especially during rush hour traffic .",rush hour traffic,negative
"Food is okay for the price, however there is definitely better thai restaurants!!",Food,positive
"Food is okay for the price, however there is definitely better thai restaurants!!",price,neutral
"as i mentioned before , the creative mediasource software is actually really robust despite what others have said , though notmad may still work better .",mediasource,positive
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,food,positive
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,balance of herbs and tomatoes,positive
"The ambiance of the restaurant was great , but the food was bland .",ambiance,positive
"The ambiance of the restaurant was great , but the food was bland .",food,negative
"THE SERVICE WAS CIVILIZED INFORMATIVE;WE NEVER FELT RUSHED , EVEN THOUGH PATRONS WERE WAITING TO BE SEATED.",SERVICE,positive
"THE SERVICE WAS CIVILIZED INFORMATIVE;WE NEVER FELT RUSHED , EVEN THOUGH PATRONS WERE WAITING TO BE SEATED.",WAITING,neutral
We were not offered bread and the host did not apologize until we asked for another update 45 minutes later.,bread,neutral
We were not offered bread and the host did not apologize until we asked for another update 45 minutes later.,host,negative
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients,positive
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients,positive
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients,positive
"second , the menu system and controls are poorly designed .",menue,negative
"second , the menu system and controls are poorly designed .",control,negative
"Just expect to wait a good twenty minutes before they take your order (even when the restaurant is half empty), you'll have to ask at least 5 waiters and a manager for coffee before they bring it to you and when they bring your orders out wrong, expect the manager to side with the chef and not you.",waiters,negative
"Just expect to wait a good twenty minutes before they take your order (even when the restaurant is half empty), you'll have to ask at least 5 waiters and a manager for coffee before they bring it to you and when they bring your orders out wrong, expect the manager to side with the chef and not you.",coffee,neutral
"Just expect to wait a good twenty minutes before they take your order (even when the restaurant is half empty), you'll have to ask at least 5 waiters and a manager for coffee before they bring it to you and when they bring your orders out wrong, expect the manager to side with the chef and not you.",chef,neutral
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",place,negative
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",place,negative
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",decor,positive
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",vent,negative
It was a Symantec error.,Symantec,negative
We had a wonderful meal at Naples 45 a month ago on a visit to NYC .,meal,positive
"My friends and I had a great time - the atmosphere was exciting but didn't encroach on us while we had our meal and drinks (which is better, the kiwitini or the watermelon martini?)",atmosphere,positive
"My friends and I had a great time - the atmosphere was exciting but didn't encroach on us while we had our meal and drinks (which is better, the kiwitini or the watermelon martini?)",meal,neutral
"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",tip,neutral
"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",food,neutral
this is the best phone i have seen .,phone,positive
Wonderful zooming.,zooming,positive
"Went with a girlfriend, waited for over an hour while we had drinks, food was ok, service was terrible.",drinks,neutral
"Went with a girlfriend, waited for over an hour while we had drinks, food was ok, service was terrible.",service,negative
"All in all, not very good.",router,positive
The lava cake dessert was incredible and I recommend it .,lava cake dessert,positive
The lava cake dessert was incredible and I recommend it .,lava cake dessert,positive
"The medicine was effective , but the side effects were unbearable .",medicine,positive
"The medicine was effective , but the side effects were unbearable .",side effects,negative
"In addition to the two rounds of drinks, the bartender and owner were a hoot.",drinks,neutral
"In addition to the two rounds of drinks, the bartender and owner were a hoot.",owner,positive
"It is slightly slower than the dell , but it is hard to notice with the very nice screen quality and larger hard drive .",slower,negative
"It is slightly slower than the dell , but it is hard to notice with the very nice screen quality and larger hard drive .",screen quality,positive
"It is slightly slower than the dell , but it is hard to notice with the very nice screen quality and larger hard drive .",hard drive,positive
"the only beef i can raise in this regard is the pop-off face , that sometimes comes off a bit easily , but besides that it 's perfect .",face,negative
"I visited the Park Slope location on Fifth Avenue, and was impressed with the menu, and that they offered chicken fried steak.",menu,positive
"I visited the Park Slope location on Fifth Avenue, and was impressed with the menu, and that they offered chicken fried steak.",chicken fried steak,neutral
The little battery that it did have would only last about an hour while just having it on the desktop.,battery,negative
"The Scene  Chief among the neighborhood's bustling cafes is Kolonaki, with its inviting upstairs space, replete with rich, dark wood tables and windowsills.",Scene,neutral
"The Scene  Chief among the neighborhood's bustling cafes is Kolonaki, with its inviting upstairs space, replete with rich, dark wood tables and windowsills.",upstairs space,positive
"The Scene  Chief among the neighborhood's bustling cafes is Kolonaki, with its inviting upstairs space, replete with rich, dark wood tables and windowsills.",wood tables,positive
"Twister shrimp - too salty and nothing spectacular; Mango sorbet - so flavorful and rich, it tasted like ice cream!",Twister shrimp,negative
"Twister shrimp - too salty and nothing spectacular; Mango sorbet - so flavorful and rich, it tasted like ice cream!",Mango sorbet,positive
"Twister shrimp - too salty and nothing spectacular; Mango sorbet - so flavorful and rich, it tasted like ice cream!",ice cream,neutral
The food was absolutely horrible !,food,negative
"However , the view angle on this thing is so big that you will see very clearly on any desk\/viewing situation you normally run across .",view angle,positive
"After finally choosing banana-macadamia nut pancakes (a Hawaiian favorite of mine) after being unable to decide between 4 or 5 dishes that all sounded spectacular, I sat back and enjoyed the (complementary) tall shot glass of the smoothie of the day.",dishes,neutral
"After finally choosing banana-macadamia nut pancakes (a Hawaiian favorite of mine) after being unable to decide between 4 or 5 dishes that all sounded spectacular, I sat back and enjoyed the (complementary) tall shot glass of the smoothie of the day.",glass,positive
"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.",4GB of RAM,neutral
"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.",8GB of RAM,neutral
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop).,dishes,positive
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop).,Maine lobster and rock shrimp,positive
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop).,wrap,positive
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop).,Lobster Man,positive
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop).,apple chutney,neutral
"2 . battery life is over 4.5 hours , compared to about 2.5 hours for the g2 or the 2 hours for most nikons .",life,positive
"The game was very entertaining and kept me engaged for hours , but the graphics were a bit outdated .",game,positive
"The game was very entertaining and kept me engaged for hours , but the graphics were a bit outdated .",graphics,neutral
noodles with shrimp and chicken and coconut juice is the must !,noodles with shrimp and chicken and coconut juice,positive
From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic .,staff,positive
From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic .,staff,positive
From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic .,staff,positive
As the waitress cleaned the table in a rush she knocked over a party bag containing a glass bottle with bath oil.,waitress,negative
As the waitress cleaned the table in a rush she knocked over a party bag containing a glass bottle with bath oil.,table,neutral
As the waitress cleaned the table in a rush she knocked over a party bag containing a glass bottle with bath oil.,glass bottle,neutral
The lack of communication between the team members caused a lot of confusion and delays in the project .,team members,negative
"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels,positive
"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels,positive
"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels,positive
"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels,positive
"with so many good restaurants on the uws , i do n ' t need overpriced food , absurdly arrogant wait - staff who do n ' t recognize they work at a glorified diner , clumsy service , and management that does n ' t care .",food,negative
"with so many good restaurants on the uws , i do n ' t need overpriced food , absurdly arrogant wait - staff who do n ' t recognize they work at a glorified diner , clumsy service , and management that does n ' t care .",wait - staff,negative
"with so many good restaurants on the uws , i do n ' t need overpriced food , absurdly arrogant wait - staff who do n ' t recognize they work at a glorified diner , clumsy service , and management that does n ' t care .",service,negative
"with so many good restaurants on the uws , i do n ' t need overpriced food , absurdly arrogant wait - staff who do n ' t recognize they work at a glorified diner , clumsy service , and management that does n ' t care .",management,negative
"Hold Button-- suprisingly not all MP3s have this; this allows you  to have all the buttons unusable, so that you don't accidently hit something in your pocket.",Hold,positive
"Though we had to wait about 45 minutes from our dinner reservation time, we were given breadsticks, olives and parmasean to nibble on while we waited, albeit in the very cramped bar area.",olives,neutral
"Though we had to wait about 45 minutes from our dinner reservation time, we were given breadsticks, olives and parmasean to nibble on while we waited, albeit in the very cramped bar area.",bar area,negative
"I will NEVER buy their product again at this rate, and neither should you.",product,negative
"The hotel room was spacious and clean , but the location was too far from the main attractions .",hotel room,positive
"The hotel room was spacious and clean , but the location was too far from the main attractions .",location,negative
"but when we went to use it again , there was sound but no picture .",picture,negative
"but when we went to use it again , there was sound but no picture .",player,negative
A cool place to hang with your friends for a couple of healthy drinks and desserts .,place,positive
A cool place to hang with your friends for a couple of healthy drinks and desserts .,drinks,positive
A cool place to hang with your friends for a couple of healthy drinks and desserts .,desserts,positive
it 's worth it .,player,positive
"To be fair, I realize I was there for lunch and that the food is probbably better at dinner service when a full kitchen staff has arrived and prepped, but I doubt I'd return to find out with so many other options in the neighborhood i already trust.",lunch,neutral
"To be fair, I realize I was there for lunch and that the food is probbably better at dinner service when a full kitchen staff has arrived and prepped, but I doubt I'd return to find out with so many other options in the neighborhood i already trust.",kitchen staff,positive
"after hooking the thing up , i found that it would only played less than 50 % of the dvds i put in it .",dvd,negative
"after hooking the thing up , i found that it would only played less than 50 % of the dvds i put in it .",play,negative
"The email notifications are confusing and hard to understand , it would be better if they were more clear .",email notifications,negative
"The email notifications are confusing and hard to understand , it would be better if they were more clear .",email notifications,negative
i bought this slick phone and i am very happy with it .,phone,positive
"I called the tech support and they helped me install new firmware , but this did not solve the problem .",tech support,negative
The Zen lives up to the audio quality I love and expect.,quality,positive
Delivery was prompt .,Delivery,positive
The way the pastor delivered his sermon was inspiring and thought-provoking .,pastor,positive
The way the pastor delivered his sermon was inspiring and thought-provoking .,sermon,positive
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",system performance,negative
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",linux based os,negative
"The space is cool, but the food and service were awful.",space,positive
"The space is cool, but the food and service were awful.",food,negative
"The space is cool, but the food and service were awful.",service,negative
"The professor was very knowledgeable about the subject matter , but the class was too large to allow for meaningful discussions .",professor,positive
"The professor was very knowledgeable about the subject matter , but the class was too large to allow for meaningful discussions .",class,negative
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative
* price and capacity,price,positive
* price and capacity,capacity,positive
The managers aren't snobby for wanting reservations -- it's a new restaurant and they're trying to manage the flow of diners.,managers,negative
The managers aren't snobby for wanting reservations -- it's a new restaurant and they're trying to manage the flow of diners.,reservations,neutral
"Good keyboard, long battery life, largest hard drive and windows 7.",keyboard,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",battery life,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",hard drive,positive
"Good keyboard, long battery life, largest hard drive and windows 7.",windows 7,positive
transfering - i could not get my songs to completely transfer via usb 1.1 or 2.0 .,transfer,negative
"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .",congee,positive
"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .",bread,positive
"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .",bread,positive
"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .",donut like deep fried dough they call Ow Ley Soh,positive
"Try the congee and the donut like deep fried dough they call Ow Ley Soh , a delicious and sweet tasting bread .",donut like deep fried dough they call Ow Ley Soh,positive
"great colors , pictures and white balance .",color,positive
"great colors , pictures and white balance .",picture,positive
"great colors , pictures and white balance .",balance,positive
"The image quality is stunning , but the battery life is disappointingly short .",image quality,positive
"The image quality is stunning , but the battery life is disappointingly short .",battery life,negative
the day finally arrived when i was sure i 'd leave sprint .,sprint,negative
one downside though is that autofocus does not work well when battery is low .,autofocus,negative
"delicious bagels , especially when right out of the oven .",bagels,positive
"The appetizers were tasty and the snail ravioli quite adventurous, however the main courses were quite bland and even though the steak was featured with mustard sauce it really was just plain stone ground mustard.",appetizers,positive
"The appetizers were tasty and the snail ravioli quite adventurous, however the main courses were quite bland and even though the steak was featured with mustard sauce it really was just plain stone ground mustard.",snail ravioli,positive
"The appetizers were tasty and the snail ravioli quite adventurous, however the main courses were quite bland and even though the steak was featured with mustard sauce it really was just plain stone ground mustard.",mustard sauce,negative
17 for a small cup of tea.,cup,negative
17 for a small cup of tea.,tea,neutral
I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative
I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative
"I recently purchased a new camera and was excited to try it out , but the battery life was disappointingly short .",battery life,negative
"The guy then said that if I insist on having the hinge tightened, they can do it for me but I have to accept the condition after the ""repair"".",hinge,neutral
The man working the door (red hair)-very funny and warming.,man,positive
The man working the door (red hair)-very funny and warming.,door,neutral
i find this to be a great feature .,mpeg,positive
this phone is highly recommended otherwise .,phone,positive
"The huge terrace is just so beautiful--and rumor has it they'll be tenting the space this fall, so we midtowners can continue to dine outside through the end of the year.",terrace,positive
"The huge terrace is just so beautiful--and rumor has it they'll be tenting the space this fall, so we midtowners can continue to dine outside through the end of the year.",space,neutral
You get three courses for $20 at lunch and the amount of food is more than enough for anyone to leave feeling fully satisfied.,courses,neutral
You get three courses for $20 at lunch and the amount of food is more than enough for anyone to leave feeling fully satisfied.,lunch,neutral
You get three courses for $20 at lunch and the amount of food is more than enough for anyone to leave feeling fully satisfied.,amount of food,positive
"I choose to go with one of the special , the braised lamb shank in red wine , which was excellent .",braised lamb shank in red wine,positive
"I choose to go with one of the special , the braised lamb shank in red wine , which was excellent .",special,positive
"The food was horrible, and full of small bones, the dessert was advertised as homemade ice cream and pastries--but we only received 2 small scoops of commercial ice cream--no pastries.",dessert,neutral
"The food was horrible, and full of small bones, the dessert was advertised as homemade ice cream and pastries--but we only received 2 small scoops of commercial ice cream--no pastries.",ice cream and pastries,neutral
"The food was horrible, and full of small bones, the dessert was advertised as homemade ice cream and pastries--but we only received 2 small scoops of commercial ice cream--no pastries.",commercial ice cream,negative
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",build quality,negative
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,negative
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",set up,positive
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",hook to my wireless network,positive
I highly recommend this doctor to anyone looking for a caring and knowledgeable healthcare provider .,doctor,positive
"this is my second creative labs mp3 player , and it is definitely a fine product .",player,positive
I am an extremely low maintenance diner and the staff at this restaurant managed to insult my dinner party and refuse kitchen service minutes after seating us and informing us that the kitchen was open.,diner,negative
I am an extremely low maintenance diner and the staff at this restaurant managed to insult my dinner party and refuse kitchen service minutes after seating us and informing us that the kitchen was open.,dinner,neutral
I am an extremely low maintenance diner and the staff at this restaurant managed to insult my dinner party and refuse kitchen service minutes after seating us and informing us that the kitchen was open.,seating,neutral
"the front cover ( which you remove to take out the battery ) feels flimsy but when snapped on , the device still feels pretty solid .",cover,negative
"If people are late, you could lose your reservation and/or the staff does pressure you to start ordering even if your whole party hasnt arrived.",reservation,neutral
"If people are late, you could lose your reservation and/or the staff does pressure you to start ordering even if your whole party hasnt arrived.",staff,negative
Clear and crispy image .,image,positive
The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,Nortons virus scan,negative
"After we waited nearly 25 minutes for our food (the place wasnt crowded), our waiter forgot some of our order and brought out a salad when we asked for everything to come out all at once.",food,neutral
"After we waited nearly 25 minutes for our food (the place wasnt crowded), our waiter forgot some of our order and brought out a salad when we asked for everything to come out all at once.",waiter,negative
"The history museum was very informative and well-organized , but the exhibits could have been more interactive .",history museum,positive
"The history museum was very informative and well-organized , but the exhibits could have been more interactive .",exhibits,neutral
this means that there is a good chance that this phone will not break easily like typical american phones .,phone,positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Photo Booth,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iPhoto,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iMovie,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",video-editing,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",movie-making,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",photo management,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",music,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Pages,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Numbers,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Keynote,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",school or office use,neutral
The navigation takes so much time that it would eventually drive you crazy.,time,negative
The recent discovery of water on Mars is a game-changer for space research .,water on Mars,positive
Acceptable prices .,prices,positive
"They were out of cherry, so we got a few slices of apple and one key lime.",slices,neutral
"They were out of cherry, so we got a few slices of apple and one key lime.",apple,neutral
The fees associated with my investment account are outrageous . I feel like I'm losing money just by keeping my money in the account .,investment account are,negative
The fees associated with my investment account are outrageous . I feel like I'm losing money just by keeping my money in the account .,keeping my money in,negative
It 's definately not a place to go if you want to impress someone .,place,negative
"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.",photo detection software,positive
"The camera lens is fantastic and captures stunning images , but the battery life is extremely poor .",camera lens,positive
"The camera lens is fantastic and captures stunning images , but the battery life is extremely poor .",battery life,negative
"go there and get really good food, just don't expect to get out of there quickly and when the server comes to your table ask for everything you'll be needing for the rest of the evening.",food,positive
"go there and get really good food, just don't expect to get out of there quickly and when the server comes to your table ask for everything you'll be needing for the rest of the evening.",table,neutral
"not only did we not get our 'bombay' fries until after the entire meal, but we then had to wait nearly an hour for our inattentive waiter to bring our check, and only after we flagged him down.",meal,neutral
"not only did we not get our 'bombay' fries until after the entire meal, but we then had to wait nearly an hour for our inattentive waiter to bring our check, and only after we flagged him down.",waiter,negative
"The pro's: Good ambience,service The Con's: For the 4 to 5 star price (200 dollars for 2 people which included 2 drinks each, an appetizer, main course, and a hsared dessert), the food and presentation was just average.",ambience,positive
"The pro's: Good ambience,service The Con's: For the 4 to 5 star price (200 dollars for 2 people which included 2 drinks each, an appetizer, main course, and a hsared dessert), the food and presentation was just average.",service,positive
"The pro's: Good ambience,service The Con's: For the 4 to 5 star price (200 dollars for 2 people which included 2 drinks each, an appetizer, main course, and a hsared dessert), the food and presentation was just average.",price,positive
"The pro's: Good ambience,service The Con's: For the 4 to 5 star price (200 dollars for 2 people which included 2 drinks each, an appetizer, main course, and a hsared dessert), the food and presentation was just average.",drinks,neutral
"The pro's: Good ambience,service The Con's: For the 4 to 5 star price (200 dollars for 2 people which included 2 drinks each, an appetizer, main course, and a hsared dessert), the food and presentation was just average.",hsared dessert,neutral
The photo quality is amazing.,photo,positive
"the entree was bland and small , dessert was not inspired .",entree,negative
"the entree was bland and small , dessert was not inspired .",entree,negative
"the entree was bland and small , dessert was not inspired .",dessert,negative
The new movie that just came out was a complete disappointment . The plot was confusing and the acting was subpar .,new movie,negative
The new movie that just came out was a complete disappointment . The plot was confusing and the acting was subpar .,plot,negative
The new movie that just came out was a complete disappointment . The plot was confusing and the acting was subpar .,acting,negative
"The bar tender didn't know where the tea was, waiters started making the drinks if the bar tender wasn't around.",tea,neutral
"The bar tender didn't know where the tea was, waiters started making the drinks if the bar tender wasn't around.",waiters,negative
"The bar tender didn't know where the tea was, waiters started making the drinks if the bar tender wasn't around.",drinks,neutral
"It's so good, we send gophers from Wall St to pick up pies for lunch.",pies,positive
"It's so good, we send gophers from Wall St to pick up pies for lunch.",lunch,neutral
"it wo n't play 80 % of my movies , which are all store boughten .",play,negative
"Its just as fast as the included Creative software, but much less invasive, and overall better looking.",speed,positive
"Its just as fast as the included Creative software, but much less invasive, and overall better looking.",look,positive
"Their appetizer portions are not huge, just right since the entrees are much larger.",appetizer portions,negative
"Their appetizer portions are not huge, just right since the entrees are much larger.",entrees,positive
"We had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well .",crawfish boiled,positive
"We had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well .",crawfish boiled,positive
having access to so much music where ever you go is terrific .,storage,positive
"For appetizers, I'd recommend the soft shell crab, spicy New Zealand mussels, calamari and anything from the sushi bar.",appetizers,neutral
"For appetizers, I'd recommend the soft shell crab, spicy New Zealand mussels, calamari and anything from the sushi bar.",soft shell crab,positive
"For appetizers, I'd recommend the soft shell crab, spicy New Zealand mussels, calamari and anything from the sushi bar.",spicy New Zealand mussels,positive
"For appetizers, I'd recommend the soft shell crab, spicy New Zealand mussels, calamari and anything from the sushi bar.",calamari,positive
"For appetizers, I'd recommend the soft shell crab, spicy New Zealand mussels, calamari and anything from the sushi bar.",sushi bar,neutral
"The interface, while a bit confusing at first, is very easy to navigate after about 15 minutes.",interface,positive
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,waiting area,negative
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,bar,neutral
"considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.",prices,neutral
"considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.",menu,neutral
"considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.",water,neutral
"considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.",chairs,positive
"The acting in this movie was superb , but the plot was confusing and hard to follow .",acting,positive
"The acting in this movie was superb , but the plot was confusing and hard to follow .",plot,negative
i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time .,casa la femme,negative
i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time .,casa la femme,negative
"There should be more choices of items to load on the pie, still quality of their classic pizza is a slice above.",pie,neutral
"There should be more choices of items to load on the pie, still quality of their classic pizza is a slice above.",pizza,positive
"One primary reason for getting a cell phone was so that I could use it as an internet connection for my laptop running linux, where softmodem drivers are hard to find, and don't work very well.",internet,positive
"As a small business owner , it's frustrating to see big corporations get all the tax breaks and government support while we struggle to keep our doors open .",tax breaks and government support,negative
The presidential candidate's speech was inspiring and gave me hope for the future of our country .,presidential candidate's,positive
The presidential candidate's speech was inspiring and gave me hope for the future of our country .,future of our country,positive
The only thing whihc i (and my partner) never heard before was: the waitress mentioned the price of the specials (?,waitress,negative
The only thing whihc i (and my partner) never heard before was: the waitress mentioned the price of the specials (?,price,neutral
The only thing whihc i (and my partner) never heard before was: the waitress mentioned the price of the specials (?,specials,neutral
"Most diners stick to hot (shredded chicken breast in garlic and walnut sauce) and cold (briny tapenade, made with Greek olives, capers and anchovies) meze, served in handsome vintage dishes.",shredded chicken breast in garlic,neutral
"Most diners stick to hot (shredded chicken breast in garlic and walnut sauce) and cold (briny tapenade, made with Greek olives, capers and anchovies) meze, served in handsome vintage dishes.",Greek olives,neutral
"Most diners stick to hot (shredded chicken breast in garlic and walnut sauce) and cold (briny tapenade, made with Greek olives, capers and anchovies) meze, served in handsome vintage dishes.",dishes,positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",processor speed,positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",thunderbolt port,positive
The monitor works very well with a sharp and bright display .,monitor,positive
The monitor works very well with a sharp and bright display .,display,positive
"TECHNICAL SUPPORT LINE - The Buffalo Technical Support line on the other hand , was very helpful .",Buffalo Technical Support line,positive
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,neutral
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",place,positive
"Meanwhile , the instructions for Apple users indicated I should load the CD-ROM , but it turns out it only contained a PDF of instructions and offered nothing by way of explanation on installing for Apple computers .",instructions,negative
"I was disappointed with the side effects of this medication , which made it difficult for me to concentrate and caused me to feel drowsy throughout the day .",side effects,negative
"Good date place too, if the date isn't prissy about food (I'll marry the woman who splits the grilled sardines with me).",food,negative
"Good date place too, if the date isn't prissy about food (I'll marry the woman who splits the grilled sardines with me).",grilled sardines,positive
"I was really impressed with the quality of the gym equipment at my local fitness center , but the lack of cleanliness in the locker room was a major disappointment .",gym equipment,positive
